	[files//]
Washington	[files/Washington/, ./files/Washington/]
uploadtest	[files/uploadtest/, ./files/uploadtest/]
imported2	[files/imported2/, files/imported2/, files/imported2/, files/imported2/, files/imported2/, files/imported2/, files/imported2/]
imported3	[files/imported3/, files/imported3/, files/imported3/, files/imported3/, files/imported3/]
imported0	[files/imported0/, files/imported0/, files/imported0/, files/imported0/, files/imported0/, files/imported0/, files/imported0/]
imported1	[files/imported1/, files/imported1/, files/imported1/, files/imported1/, files/imported1/, files/imported1/, files/imported1/]
test-card	[files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/, files/test-card/]
Jake's Card	[files/Jake's Card/, files/Jake's Card/]
Farm Animals	[files/Farm Animals/, files/Farm Animals/]
New Hampshire	[files/New Hampshire/]
Toast	[files/Toast/]
Wyoming	[files/Wyoming/, ./files/Wyoming/]
Test	[files/Test/]
NJ	[files/NJ/]
Fighting Irish	[files/Fighting Irish/]
imported4	[files/imported4/, files/imported4/, files/imported4/, files/imported4/, files/imported4/]
Arizona	[files/Arizona/]
Many tags	[files/Many tags/]
Birds	[files/Birds/]
wheee!	[files/wheee!/]
